1,0.826
2,0.886
3,0.985
4,1.961
5,1.966
6,1.952
7,1.97
8,1.961
9,1.955
10,0.845
11,0.332
12,0.477
13,0.362
14,0.747
15,0.391
16,0.577
17,0.628
18,0.69
19,0.554
20,0.371
21,0.628
22,0.342
23,0.477
24,0.597
25,0.502
26,0.756
27,0.924
28,0.702
29,1.123
30,0.875
31,0.843
32,1.035
33,1.061
34,0.959
35,0.881
36,1.322
37,0.305
38,0.959
39,0.513
40,0.996
41,0.998
42,1.068
43,1.17
44,1.863
45,1.233
46,0.789
47,0.845
48,0.806
49,0.31
50,1.511
51,0.777
52,1.407
53,1.114
54,0.626
55,0.778
56,0.505
57,0.537
58,0.591
59,0.591
60,0.431
61,0.491
62,0.519
63,0.68
64,0.516
65,0.778
66,1.47
67,1.47
68,1.959
69,0.677
70,0.543
71,0.648
72,0.435
73,1.603
74,1.884
75,1.851
76,1.726
77,0.82
78,0.415
79,0.813
80,0.833
81,0.531
82,1.23
83,0.462
84,0.611
85,0.765
86,1.22
87,0.903
88,0.462
89,0.458
90,0.667
91,0.763
92,1.173
93,0.362
94,0.672
95,0.568
96,1.322
97,0.623
98,0.903
99,0.828
100,0.342
101,0.786
102,0.458
103,0.362
104,0.58
105,0.903
106,0.519
107,0.38
108,0.326
109,0.371
110,0.439
111,0.954
112,0.757
113,0.382
114,1.085
115,0.708
116,0.362
117,0.953
118,0.581
119,0.516
120,0.548
121,0.982
122,1.06
123,0.505
124,0.464
125,0.815
126,0.462
127,0.575
128,0.944
129,0.905
130,0.898
131,0.708
132,0.393
133,1.348
134,0.756
135,0.613
136,0.982
137,0.814
138,1.049
139,1.074
140,0.904
141,0.851
142,0.611
143,0.415
144,0.568
145,0.856
146,0.803
147,1.453
148,0.643
149,0.556
150,0.688
151,0.916
152,0.914
153,0.792
154,1.439
155,0.631
156,0.949
157,1.074
158,0.857
159,0.543
160,0.483
161,0.748
162,0.389
163,1.19
164,1.19
165,0.535
166,1.054
167,0.809
168,0.439
169,0.342
170,0.794
171,0.766
172,0.544
173,1.134
174,0.585
175,1.096
176,0.778
177,0.736
178,0.531
179,0.778
180,0.763
181,1.204
182,0.934
183,0.714
184,0.993
185,0.857
186,0.978
187,0.813
188,0.498
189,1.097
190,1.13
191,0.768
192,0.838
193,0.422
194,0.362
195,0.992
196,0.438
197,0.581
198,0.342
199,1.255
200,1.252
201,0.886
202,0.548
203,0.525
204,0.801
205,0.836
206,0.663
207,0.672
208,0.473
209,0.653
210,0.857
211,0.508
212,0.857
213,0.718
214,0.674
215,0.447
216,0.524
217,0.639
218,0.334
219,0.401
220,0.687
221,0.354
222,0.322
223,0.49
224,0.477
225,0.613
226,1.061
227,0.58
228,0.804
229,0.638
230,0.708
231,0.792
232,1.015
233,0.747
234,0.716
235,0.591
236,0.512
237,0.322
238,1.223
239,0.453
240,0.838
241,0.602
242,0.556
243,0.642
244,0.505
245,0.892
246,0.48
247,0.628
248,0.719
249,0.918
250,0.334
251,0.462
252,0.48
253,0.842
254,0.672
255,0.446
256,0.777
257,0.801
258,0.888
259,0.491
260,0.871
261,0.391
262,0.916
263,0.677
264,0.602
265,1.258
266,0.491
267,0.556
268,0.41
269,0.799
270,0.519
271,0.33
272,0.799
273,1.013
274,0.74
275,0.911
276,0.726
277,1.04
278,0.756
279,0.477
280,0.82
281,0.76
282,0.365
283,0.778
284,0.633
285,2.097
286,1.907
287,2.124
288,1.938
289,1.931
290,1.964
291,1.955
